ID,Date,Type,Club,Intitulé,FFC,SLF
0,14/01/2024,CX,UC Montreux Vieux,"3ème Prix ""Au Faîte 68""",O,O
1,10/03/2024,VTT,Chouet'Bike Club,Village Neuf (jusqu'à Cadets),O,O
2,23/03/2024,VTT,SSOL,Prix ELS Immo,O,O
3,09/05/2024,Route,CCBM,"Prix de Lacollonge (Champ. régional Alsace, Champ. Dép. 90 et 25)",N,N
4,12/05/2024,Route,Munster Bike Club,Critérium Jeunes jusqu'à U13,O,N
5,16/05/2024,Route,VC Luron,Nocturne de Lure,O,N
6,18/05/2024,VTT,UC Montreux Vieux,Chrono Gerthoffer,N,O
7,19/05/2024,Route,VC Luron,Prix Dépannage 70,O,N
8,02/06/2024,Route,VC Luron,Prix La Fourchette Luronne,O,N
9,09/06/2024,VTT,VC Mollau,Course de Mollau,O,O
10,16/06/2024,Route,ACTB,Prix de Danjoutin,N,N
11,23/06/2024,Route,Union Cycliste de Lutterbach,Prix de Bernwiller,O,N
12,30/06/2024,VTT,SSOL Habsheim,VTT du Terril (Championnat régional),O,O
13,06/07/2024,Route,FSGT,National Route (Montreux Vieux),N,N
14,07/07/2024,Route,FSGT,National Route (Bréchaumont),N,N
15,13/07/2024,VTT,FSGT,National VTT,N,N
16,14/07/2024,VTT,FSGT,National VTT,N,N
17,25/08/2024,Route,ACTB,Prix de Rougemont,N,N
18,01/09/2024,Grimpée,Sprinter Club,Grimpée du Petit Ballon,O,O
19,14/09/2024,Grimpée,VC Soultzia,Grimpée du Col Amic,O,O
20,15/09/2024,VTT,VCSA,3H d'Altkirch,O,O
21,21/09/2024,Grimpée,CCK,Grimpée du Haag,O,O
22,22/09/2024,Route,VC Luron,Prix MMA,O,O
23,28/09/2024,Grimpée,ACTB,Grimpée du Salbert,O,O
24,29/09/2024,VTT,Munster Bike Club,Supercup Souvenir Marie-Paule Fuhrmann,O,O
25,06/10/2024,CX,VC Sainte Barbe Wittenheim,Crosstour - REPORTE,N,O
26,12/10/2024,CX,MJC Buhl,CX de Wattwiller,O,O
27,19/10/2024,CX,SOSL,CX de Morschwiller,O,O
28,26/10/2024,CX,MJC Buhl,CX de Guebwiller - ANNULE,O,O
29,02/11/2024,CX,Vélo Passion Heimsbrunn,CX (Championnat régional),N,O
30,09/11/2024,CX,VC Saint Louis 3F,CX de Kappelen,O,O
31,16/11/2024,CX,Munster Bike Club,Prix Groupama,O,O
32,24/11/2024,CX,UC Montreux-Vieux,4ème Prix au Faîte - MAINTENU,O,O
33,30/11/2024,CX,SSOL,CX de Niffer (CHANGEMENT DE DATE),O,O
34,08/12/2024,CX,Chouet'Bike Club,Village Neuf - ANNULE,O,O
35,15/12/2024,CX,ACTB,Souvenir Roland Canal,N,O
