ID,Date,Type,Club,Intitulé
0,23/03/2025,VTT,SSOL Habsheim,ELS Immo
1,29/03/2025,VTT,Chouet Bike Club,
2,30/03/2025,Route,VCSA,Grand Prix de Seppois
3,06/04/2025,VTT,MBC,
4,13/04/2025,Route,VC Luron,4H de Linexert
5,26/04/2025,Route,AC Cheminots,Altenach
6,27/04/2025,VTT,UCMV,Chrono Gerthoffer
7,08/05/2025,Route,CCBM,Prix de Lacollonge
8,15/05/2025,Route,VC Luron,Nocturne de Lure
9,18/05/2025,Route,VC Luron,Prix Dépannage 70
10,24/05/2025,Route,UC Lutterbach,
11,01/06/2025,,FSGT 68,
12,08/06/2025,Route,UCMV,Critérium
13,15/06/2025,Route,ACTB,Prix de Danjoutin
14,29/06/2025,Route,VC Luron,Fourchette Luronne
15,30/08/2025,Grimpée,Sprinter Club,Grimpée du Petit Ballon
16,06/09/2025,VTT,UCMV,Prix Technochape
17,07/09/2025,Grimpée,CCK,Chrono du Haag
18,13/09/2025,Grimpée,Vc Soultzia,Grimpée du Col Amic
19,20/09/2025,Grimpée,MJC Buhl,Grimpée du Remspach
20,21/09/2025,Route,VC Luron,Chrono MMA
21,27/09/2025,Grimpée,ACTB,Grimpée du Salbert
22,28/09/2025,CX,VC Wittenheim,Cross Tour
23,11/10/2025,CX,MJC Buhl,CX de Buhl
24,18/10/2025,CX,VPH,CX de Heimsbrunn
25,09/11/2025,CX,UCMV,Prix Au Faîte 68
26,15/11/2025,CX,SL3F,CX de Kappelen (Régional)
27,23/11/2025,CX,MBC,CX de Munster
28,30/11/2025,CX,SSOL,CX de Niffer
29,14/12/2025,CX,ACTB,Souvenir Roland Canal
